iter	RMSE
0	56.23840663
1	50.68231205
2	45.73062129
3	41.28676296
4	37.31673466
5	33.78698864
6	30.6087081
7	27.74400624
8	25.1705246
9	22.90167819
10	20.88729209
11	19.06954982
12	17.4412005
13	15.99182187
14	14.68726898
15	13.5218366
16	12.49528497
17	11.58147047
18	10.75405066
19	10.02150708
20	9.366410447
21	8.801338497
22	8.300236799
23	7.856983557
24	7.468999265
25	7.122848463
26	6.81841106
27	6.542835918
28	6.292853109
29	6.078013096
30	5.901028708
31	5.742379456
32	5.586423095
33	5.467499962
34	5.363966094
35	5.257864109
36	5.15285669
37	5.069971775
38	4.998411203
39	4.936496164
40	4.879544472
41	4.829669361
42	4.774257854
43	4.728556372
44	4.689893416
45	4.645522898
46	4.614673208
47	4.57255709
48	4.549212365
49	4.513940621
50	4.490225942
51	4.472634943
52	4.454501041
53	4.427460815
54	4.401624467
55	4.388984473
56	4.376687908
57	4.355020856
58	4.326359802
59	4.316749797
60	4.301820249
61	4.28905045
62	4.257078174
63	4.237352514
64	4.224808933
65	4.210901456
66	4.188364218
67	4.171565781
68	4.152169809
69	4.134392008
70	4.120864754
71	4.109957251
72	4.098710379
73	4.092604433
74	4.080642283
75	4.068256559
76	4.059974112
77	4.052909619
78	4.040707087
79	4.034110612
80	4.026250475
81	4.018675289
82	4.008451462
83	4.001126135
84	3.992533349
85	3.985698289
86	3.979200429
87	3.970248128
88	3.962400769
89	3.955888235
90	3.947792644
91	3.940590039
92	3.932086431
93	3.926144697
94	3.921966767
95	3.916885353
96	3.91139566
97	3.905722291
98	3.90170002
99	3.897395216
100	3.891872832
101	3.887648788
102	3.883614273
103	3.878357457
104	3.873287225
105	3.870479906
106	3.865382143
107	3.859171705
108	3.85535738
109	3.851840454
110	3.848233958
111	3.844768685
112	3.840448613
113	3.838338196
114	3.834164637
115	3.83100307
116	3.827506853
117	3.822738319
118	3.818774512
119	3.815028569
120	3.811473917
121	3.808520202
122	3.804694819
123	3.801385853
124	3.797068255
125	3.793756336
126	3.791813786
127	3.787410244
128	3.783178927
129	3.779283434
130	3.777296471
131	3.774030416
132	3.770625447
133	3.7672069
134	3.76522791
135	3.762134203
136	3.759876843
137	3.757591773
138	3.754114302
139	3.751495559
140	3.74857214
141	3.745580442
142	3.743152407
143	3.741636074
144	3.739177028
145	3.736462068
