iter	Passed	Remaining
0	43	43714
1	73	36900
2	103	34525
3	134	33575
4	169	33643
5	200	33235
6	234	33271
7	266	33081
8	299	33029
9	332	32912
10	365	32895
11	398	32847
12	431	32787
13	464	32745
14	499	32787
15	530	32655
16	562	32500
17	595	32461
18	624	32236
19	654	32046
20	683	31874
21	713	31739
22	742	31526
23	772	31406
24	802	31304
25	830	31109
26	858	30943
27	888	30847
28	919	30772
29	949	30690
30	976	30532
31	1006	30441
32	1035	30351
33	1064	30248
34	1092	30134
35	1122	30047
36	1153	30028
37	1181	29920
38	1212	29870
39	1239	29759
40	1267	29657
41	1297	29588
42	1327	29542
43	1356	29481
44	1385	29407
45	1415	29347
46	1443	29268
47	1470	29164
48	1498	29090
49	1531	29096
50	1560	29031
51	1587	28947
52	1616	28874
53	1648	28872
54	1677	28817
55	1704	28740
56	1732	28669
57	1764	28658
58	1794	28613
59	1821	28532
60	1851	28494
61	1880	28449
62	1915	28490
63	1948	28501
64	1979	28473
65	2015	28528
66	2054	28613
67	2092	28676
68	2128	28722
69	2163	28745
70	2202	28820
71	2239	28860
72	2274	28885
73	2305	28844
74	2337	28824
75	2368	28792
76	2398	28755
77	2427	28690
78	2459	28676
79	2486	28599
80	2513	28518
81	2541	28452
82	2571	28411
83	2618	28554
84	2650	28529
85	2684	28533
86	2711	28450
87	2741	28409
88	2772	28378
89	2803	28344
90	2834	28318
91	2864	28272
92	2895	28238
93	2923	28181
94	2952	28124
95	3012	28370
96	3057	28460
97	3119	28709
98	3154	28704
99	3187	28687
100	3225	28711
101	3268	28773
102	3307	28807
103	3339	28774
104	3374	28763
105	3408	28750
106	3444	28746
107	3476	28710
108	3503	28640
109	3533	28587
110	3563	28539
111	3592	28483
112	3622	28434
113	3647	28350
114	3674	28276
115	3700	28196
116	3730	28152
117	3760	28111
118	3790	28059
119	3820	28014
120	3850	27971
121	3879	27916
122	3910	27878
123	3938	27823
124	3969	27788
125	4000	27746
126	4034	27732
127	4070	27731
128	4107	27734
129	4142	27724
130	4176	27703
131	4215	27720
132	4250	27708
133	4279	27656
134	4306	27596
135	4336	27552
136	4362	27480
137	4389	27417
138	4418	27370
139	4447	27319
140	4477	27276
141	4508	27240
142	4536	27185
143	4560	27112
144	4591	27073
145	4622	27039
146	4658	27031
147	4690	27003
148	4724	26986
149	4755	26948
150	4787	26917
151	4815	26865
152	4848	26843
153	4886	26842
154	4927	26861
155	4962	26848
156	4993	26814
157	5028	26796
158	5065	26791
159	5099	26772
160	5135	26762
161	5167	26730
162	5207	26738
163	5241	26718
164	5276	26702
165	5308	26668
166	5336	26619
167	5367	26583
168	5397	26542
169	5423	26480
170	5456	26451
171	5487	26416
172	5515	26367
173	5542	26309
174	5576	26288
175	5611	26273
176	5649	26266
177	5687	26266
178	5720	26236
179	5748	26185
180	5777	26140
181	5808	26105
182	5839	26071
183	5878	26068
184	5918	26073
185	5951	26046
186	5982	26010
187	6021	26007
188	6059	26001
189	6095	25987
190	6130	25964
191	6164	25941
192	6200	25926
193	6241	25932
194	6280	25927
195	6311	25890
196	6341	25849
197	6369	25801
198	6400	25761
199	6426	25704
200	6454	25656
201	6486	25626
202	6518	25593
203	6547	25548
204	6575	25500
205	6605	25460
206	6635	25418
207	6666	25385
208	6697	25348
209	6728	25312
210	6757	25267
211	6788	25234
212	6816	25184
213	6841	25128
214	6871	25090
215	6897	25036
216	6922	24980
217	6949	24930
218	6974	24871
219	7004	24835
220	7034	24794
221	7061	24746
222	7089	24701
223	7118	24659
224	7147	24619
225	7178	24583
226	7209	24550
227	7237	24505
228	7270	24478
229	7299	24436
230	7326	24388
231	7353	24341
232	7379	24293
233	7407	24248
234	7439	24216
235	7465	24166
236	7493	24125
237	7521	24082
238	7550	24041
239	7576	23991
240	7608	23960
241	7636	23918
242	7664	23875
243	7694	23839
244	7721	23795
245	7750	23754
246	7780	23720
247	7807	23674
248	7834	23629
249	7863	23589
250	7895	23560
251	7924	23522
252	7958	23498
253	7987	23459
254	8020	23431
255	8053	23404
256	8085	23374
257	8115	23339
258	8143	23299
259	8172	23260
260	8201	23223
261	8227	23175
262	8256	23137
263	8285	23100
264	8318	23073
265	8351	23046
266	8384	23018
267	8415	22986
268	8442	22942
269	8469	22899
270	8495	22853
271	8528	22826
272	8558	22791
273	8585	22747
274	8618	22720
275	8647	22684
276	8676	22647
277	8708	22617
278	8738	22581
279	8765	22538
280	8800	22518
281	8831	22484
282	8860	22449
283	8891	22417
284	8921	22381
285	8949	22343
286	8980	22309
287	9009	22274
288	9036	22232
289	9067	22198
290	9092	22152
291	9119	22112
292	9148	22075
293	9176	22036
294	9203	21995
295	9229	21952
296	9255	21908
297	9280	21862
298	9311	21831
299	9342	21798
300	9375	21772
301	9404	21736
302	9435	21703
303	9463	21666
304	9491	21628
305	9519	21591
306	9546	21549
307	9572	21506
308	9598	21465
309	9623	21420
310	9653	21386
311	9681	21349
312	9714	21321
313	9753	21308
314	9786	21282
315	9825	21267
316	9863	21251
317	9897	21227
318	9934	21207
319	9967	21180
320	10006	21166
321	10044	21148
322	10076	21119
323	10110	21094
324	10144	21070
325	10184	21057
326	10218	21031
327	10252	21005
328	10287	20981
329	10323	20959
330	10359	20938
331	10393	20912
332	10423	20878
333	10463	20864
334	10499	20842
335	10530	20810
336	10562	20780
337	10600	20762
338	10639	20746
339	10678	20729
340	10710	20698
341	10746	20676
342	10781	20651
343	10815	20624
344	10845	20591
345	10874	20555
346	10900	20513
347	10927	20473
348	10961	20447
349	10991	20412
350	11022	20380
351	11050	20343
352	11077	20303
353	11107	20270
354	11136	20233
355	11164	20196
356	11193	20161
357	11224	20128
358	11251	20090
359	11282	20057
360	11319	20036
361	11350	20004
362	11389	19985
363	11430	19971
364	11463	19942
365	11496	19913
366	11533	19892
367	11567	19866
368	11596	19829
369	11629	19801
370	11658	19766
371	11692	19738
372	11718	19698
373	11748	19663
374	11779	19633
375	11807	19595
376	11835	19558
377	11866	19525
378	11896	19493
379	11924	19456
380	11951	19417
381	11978	19379
382	12009	19346
383	12040	19314
384	12076	19290
385	12111	19264
386	12147	19240
387	12179	19211
388	12217	19189
